title,ctr,retention_rate,views,likes,avg_watch_time
Проснулся в 5 утра и закрыл спринт,17.0,36,38700,980,4.1
Как я неделю не мыл кружку и выгорел,23.0,25,213400,6700,2.8
Дедлайн подкрался незаметно,10.0,70,25600,670,7.5
Я закоммитил пароль на гитхаб,20.5,32,95400,2870,3.6
Почему продакшн упал в пятницу вечером,24.0,21,187500,5210,2.3
Как я фиксил баг три дня и нашёл лишнюю запятую,19.5,34,76200,2100,3.9
Собеседование в FAANG: я пришёл в пижаме,8.0,88,18900,560,9.5
Что будет если удалить папку lib,22.0,29,143200,3980,3.2
Один день из жизни проджект менеджера,7.5,92,14500,410,10.8
Я попросил повышения и мне дали чай,15.5,45,61200,1650,5.1
